,w,n_node,tiles,time
201,2,220,10,0.0029904842376708984
202,2,220,10,0.002989530563354492
203,2,220,10,0.002990245819091797
204,2,220,10,0.0029904842376708984
205,2,220,10,0.0019893646240234375
206,2,220,10,0.0029935836791992188
207,2,220,10,0.0029897689819335938
208,2,220,10,0.002671480178833008
209,2,220,10,0.002995014190673828
210,2,220,10,0.0029954910278320312
211,2,220,10,0.002015829086303711
212,2,220,10,0.002999544143676758
213,2,220,10,0.002989053726196289
214,2,220,10,0.001992940902709961
215,2,220,10,0.002990245819091797
216,2,220,10,0.0032334327697753906
217,2,220,10,0.0025696754455566406
218,2,220,10,0.0019466876983642578
219,2,220,10,0.001993417739868164
